ZD_deg,Etrue_min_TeV,Etrue_max_TeV,Aeff_m2,emig_mu_loc,emig_mu_scale,emig_mu_a,emig_model
30.0,0.7943282347242846,0.8912509381337491,9280.135878657164,0.251887613737599,0.633944396675491,4.8164905720860265,skewnorm
30.0,0.8912509381337491,1.000000000000004,20047.91640511229,0.25086266404402113,0.5041467483534975,3.243969085662374,skewnorm
30.0,1.000000000000004,1.1220184543019676,46267.0005497776,0.20259189966540486,0.44598218353424973,3.3706509074040136,skewnorm
30.0,1.1220184543019676,1.2589254117941726,97694.49473139399,0.1565451918263247,0.38457161628347203,2.740013279501393,skewnorm
30.0,1.2589254117941726,1.4125375446227613,169252.0394352468,0.10179086007137556,0.3353032428975979,2.7224475476045153,skewnorm
30.0,1.4125375446227613,1.5848931924611207,276194.01594177575,0.04413316856424755,0.30952143591464,2.7775987983382677,skewnorm
30.0,1.5848931924611207,1.77827941003893,402844.7935263022,0.00027630311225242224,0.27813289840872496,2.760592610404842,skewnorm
30.0,1.77827941003893,1.995262314968889,573655.6308451042,-0.03118540902849653,0.2493303876745171,2.451204938399112,skewnorm
30.0,1.995262314968889,2.2387211385683514,744317.0894954294,-0.05161390246883414,0.2305806440903212,2.19112774054471,skewnorm
30.0,2.2387211385683514,2.5118864315095926,901761.1321509494,-0.08617207105728811,0.23364276395991068,2.514401998581448,skewnorm
30.0,2.5118864315095926,2.8183829312644666,1103481.7763315202,-0.1047233526233457,0.2292993653168486,2.565492664899637,skewnorm
30.0,2.8183829312644666,3.1622776601683955,1295790.4093286896,-0.10620992584066373,0.21777216696476143,2.143615273490271,skewnorm
30.0,3.1622776601683955,3.548133892335775,1506836.7087641952,-0.05810559966310525,0.08889472202290558,,moyal
30.0,3.548133892335775,3.9810717055349936,1701010.247663842,-0.06555350274112437,0.08892365731979593,,moyal
30.0,3.9810717055349936,4.466835921509653,1903474.1483464479,-0.07340777844066415,0.09196515971436092,,moyal
30.0,4.466835921509653,5.01187233627275,2209987.8838047357,-0.07887394324616129,0.09141270669971396,,moyal
30.0,5.01187233627275,5.623413251903525,2461003.2255824893,-0.08091826242454761,0.09154626367777685,,moyal
30.0,5.623413251903525,6.309573444801969,2830584.7969737193,-0.08397534733003711,0.0901101171960989,,moyal
30.0,6.309573444801969,7.079457843841417,3108854.9591218103,-0.08870032755751575,0.09115108120811208,,moyal
30.0,7.079457843841417,7.943282347242862,3575839.8025034433,-0.08945344759844617,0.09084107544634665,,moyal
30.0,7.943282347242862,8.912509381337514,3837174.59141888,-0.09311487268578757,0.09184730058860888,,moyal
30.0,8.912509381337514,10.000000000000062,4391374.3505462,-0.09015734383209413,0.08882890022010148,,moyal
30.0,10.000000000000062,11.220184543019698,4946965.347728128,-0.09436080030936063,0.0891734806613667,,moyal
30.0,11.220184543019698,12.589254117941753,5399283.857684989,-0.09629812850862546,0.08725746059658707,,moyal
30.0,12.589254117941753,14.125375446227642,5817352.846996176,-0.0938439574302795,0.15546798793762096,1.0077524167998044,skewnorm
30.0,14.125375446227642,15.84893192461124,6399917.818864888,-0.09312239615799772,0.15154888277675027,0.9073031509573193,skewnorm
30.0,15.84893192461124,17.78279410038934,7108971.579333357,-0.09584993143792343,0.08298567929558844,,moyal
